user_id,item_id,rating,timestamp,clicked,session_id,position
u1,i1,5,1700000001,1,s1,1
u1,i2,4,1700000002,1,s1,2
u1,i3,2,1700000003,0,s1,3
u1,i5,5,1700000004,1,s2,1
u2,i2,5,1700000011,1,s3,1
u2,i3,4,1700000012,1,s3,2
u2,i4,1,1700000013,0,s3,3
u2,i6,5,1700000014,1,s4,1
u3,i1,4,1700000021,1,s5,1
u3,i4,5,1700000022,1,s5,2
u3,i5,2,1700000023,0,s5,3
u3,i7,4,1700000024,1,s6,1
u4,i3,5,1700000031,1,s7,1
u4,i4,4,1700000032,1,s7,2
u4,i8,5,1700000033,1,s8,1
u4,i9,2,1700000034,0,s8,2
u5,i1,5,1700000041,1,s9,1
u5,i6,4,1700000042,1,s9,2
u5,i7,5,1700000043,1,s10,1
u5,i8,3,1700000044,0,s10,2
u6,i2,4,1700000051,1,s11,1
u6,i5,5,1700000052,1,s11,2
u6,i9,4,1700000053,1,s12,1
u6,i10,2,1700000054,0,s12,2
u7,i3,5,1700000061,1,s13,1
u7,i7,4,1700000062,1,s13,2
u7,i10,5,1700000063,1,s14,1
u7,i1,2,1700000064,0,s14,2
u8,i4,5,1700000071,1,s15,1
u8,i8,4,1700000072,1,s15,2
u8,i10,4,1700000073,1,s16,1
u8,i2,1,1700000074,0,s16,2

